dataset,oversampling,round,fold,num_of_rules,accuracy_train,fidelity_train,accuracy_test,fidelity_test,real_num
abalone,4,0,0,25,0.8198485452371462,0.8377839776803507,0.7062200956937799,0.7712918660287081,126
abalone,4,0,0,50,0.7983260263053009,0.8158628935831008,0.6746411483253588,0.7416267942583732,145
abalone,4,0,0,100,0.8527301713830211,0.8738541251494619,0.75311004784689,0.8200956937799043,155
abalone,4,0,0,200,0.8752491032283778,0.8983658828218414,0.783732057416268,0.8545454545454545,199
abalone,4,0,1,25,0.8082601755786113,0.8298084596967279,0.6839080459770115,0.7557471264367817,133
abalone,4,0,1,50,0.8479648842777334,0.8711093375897845,0.7289272030651341,0.8007662835249042,149
abalone,4,0,1,100,0.8114525139664804,0.8302075019952115,0.6676245210727969,0.735632183908046,161
abalone,4,0,1,200,0.8611332801276935,0.88268156424581,0.7528735632183908,0.8266283524904214,185
abalone,4,0,2,25,0.6778981147212194,0.6740874448455676,0.8400383141762452,0.842911877394636,133
abalone,4,0,2,50,0.7450862414761332,0.740072202166065,0.8515325670498084,0.8582375478927203,146
abalone,4,0,2,100,0.7498997192137986,0.7505014039310068,0.8467432950191571,0.8630268199233716,158
abalone,4,0,2,200,0.8708383473726434,0.8951062976333735,0.764367816091954,0.8362068965517241,193
abalone,4,0,3,25,0.713487629688747,0.711292897047087,0.8314176245210728,0.828544061302682,131
abalone,4,0,3,50,0.810853950518755,0.8310055865921788,0.6647509578544061,0.7270114942528736,140
abalone,4,0,3,100,0.8026735833998404,0.8216280925778132,0.6877394636015326,0.7423371647509579,174
abalone,4,0,3,200,0.8715083798882681,0.8936552274541102,0.7701149425287356,0.8400383141762452,204
