
80,0.9100,0.8550,2798491488.3857,0.5000

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9790,0.9441,2560702966.8033,0.0500

german,rf
80,0.6680,0.6320,1.4388,0.5000

wine,rf
80,0.8825,0.8275,5567579514.0973,0.5250

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9790,0.9580,3951772389.9945,0.0750

german,rf
80,0.6640,0.6280,1.4400,0.5111

wine,rf
80,0.9075,0.8325,3162063319.3464,0.5750

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9720,0.9650,2364179223.8336,0.0125

german,rf
80,0.6640,0.6280,1.4437,0.5116

wine,rf
80,0.9025,0.8400,3115004112.1050,0.5250

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9720,0.9510,2728927639.6842,0.0250

german,rf
80,0.6520,0.6160,1.4604,0.5556

wine,rf
80,0.8725,0.8150,2306217699.9913,0.5375

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9860,0.9650,2669190720.9931,0.0375

german,rf
80,0.6120,0.5760,1.4556,0.5333

wine,rf
80,0.8925,0.8025,1468571444.1881,0.4750

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9860,0.9510,3608334698.3706,0.0750

german,rf
80,0.5760,0.5400,1.4804,0.5926

wine,rf
80,0.9050,0.8075,3246486993.9444,0.4250

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000

cancer,rf
80,0.9720,0.9650,3089872729.5126,0.0375

german,rf
80,0.5440,0.5080,1.4855,0.5909

wine,rf
80,0.8925,0.8525,3373523517.0738,0.6500

cancer,lgbm
80,0.6154,0.6294,0.9910,0.0000
